Address,TokenBalanceInWei,TokenBalanceInEth,DPCoin
0xF09e9E25C1bF1894BCea9B350FaCDbD3CE40398C,0,0.0000,0.0000
0x9D0bEEc8D63ef6484686d1F8470be62a210B7dBd,651505538054017931787953440772,"651,505,538,054.0179","97,725,830,708.1027"
0x4c581f07CC836e62800B3C05D1cCD6d115c916E5,689428814586582893102091970483,"689,428,814,586.5829","103,414,322,187.9874"
0xFdDb457b94b2F39D56e3bCdFeBb77c6484859967,989010000000000000000000000000,"989,010,000,000.0000","148,351,500,000.0000"
0x8De42c7007ABfdCAc9Cb9A3BD2B20bD78F350f41,599400000000000000000000000000,"599,400,000,000.0000","89,910,000,000.0000"
0x9428a3c2C8E67f7197E2726A6F08fA5e25A6EdfA,0,0.0000,0.0000
0x7B80980F1db8F0482703459f390599F0E88D1A59,988011000000000000000000000000,"988,011,000,000.0000","148,201,650,000.0000"
0x5e2B5504a511E26A89bFb12e74b1871FF152638b,849150000000000000000000000000,"849,150,000,000.0000","127,372,500,000.0000"
0x9fbdD3ae7bDD4aFB07eA4622edc13Ed5d4073d90,919080000000000000000000000000,"919,080,000,000.0000","137,862,000,000.0000"
0x15582803e1C4b5184a7ed7F3E7C77CCD5441A840,988910100000000000000000000000,"988,910,100,000.0000","148,336,515,000.0000"
0xb3aE52B2F13DfBA9D934B3C582594A927c42534E,0,0.0000,0.0000
0x800f2b52deA483643955075B1D66ddbdc2D70E62,989010000000000000000000000000,"989,010,000,000.0000","148,351,500,000.0000"
0x042aB69f837a1C36b756EBcf126Ed0EED014CE06,0,0.0000,0.0000
0x522541b159336c17199704D47D3EB4f16C7fb488,989999999010000000000000000000,"989,999,999,010.0000","148,499,999,851.5"
0x06E45fE2632f468095EdD2564E9e752F9300a7eD,979020000000000000000000000000,"979,020,000,000.0000","146,853,000,000.0000"
0x4b6b83c10BBa08A4AEDA0D998E9De157B41c0B4a,889110000000000000000000000000,"889,110,000,000.0000","133,366,500,000.0000"
0xe524b9210784FdD6EC07065CcAfD6590Cf374EBC,979617555197649000000000000000,"979,617,555,197.649","146,942,633,279.6474"
0x7ef6857eD85F4A2BbE8Ee7701C8271AD1385F99e,0,0.0000,0.0000
0x35e71AC55B8Cc2bc6D916eB1494c450C89fB4b63,989010000000000000000000000000,"989,010,000,000.0000","148,351,500,000.0000"
0x4d926F621E876Ff5274eD1De407fA9A33960118A,989309700000000000000000000000,"989,309,700,000.0000","148,396,455,000.0000"
0x632Fa79E0cEb234dE20017b557dB0b2fA60E88d6,923688944286156000000000000000,"923,688,944,286.156","138,553,341,642.9234"
0x9034A56a34D4316A23284cca66b4F0e905717EB6,969980107341600000000000000000,"969,980,107,341.6","145,497,016,101.24"
0x50838eFeB6aFBf13b7ACee94951DaAeCCc60c99e,649350000000000000000000000000,"649,350,000,000.0000","97,402,500,000.0000"
0xcE38f78f78FaC244D3d8Ab529c3c157AFe93Ce5d,989999010000000000000000000000,"989,999,010,000.0000","148,499,851,500.0000"
0xd14475bdCC87A4A944658Dc800b49b58D343ee02,919080000000000000000000000000,"919,080,000,000.0000","137,862,000,000.0000"
0x393Cb85af8eD4fb4eb45af105B7E27443B8fbC77,689310000000000000000000000000,"689,310,000,000.0000","103,396,500,000.0000"
0x103FE0B661d585b0Ff298461A1D4421b03481c23,979020000000000000000000000000,"979,020,000,000.0000","146,853,000,000.0000"
0xAca6b0D8B3761E793f62556c31745a57CAC76a92,979020000000000000000000000000,"979,020,000,000.0000","146,853,000,000.0000"
0x371EEecE23D19A151F88956a0F051FB2E3E456b1,899100000000000000000000000000,"899,100,000,000.0000","134,865,000,000.0000"
0x25421a8f17a61eec39ED697e8807866DC656c42d,989509500000000000000000000000,"989,509,500,000.0000","148,426,425,000.0000"
0x0a2c2267800bE8448fEF5f145FB2b684689e8d89,979617555197649000000000000000,"979,617,555,197.649","146,942,633,279.6474"
